,General Work-related Terms,Work Environment,Work Dynamics,Work Performance,Work Schedule,Work Challenges,Work-Life Balance,Work Ethics and Values,Work Rights and Policies,Neurodiversity and Inclusion at Work,Career Development,General Lockdown Terms,Lockdown Measures,Lockdown Impact,Lockdown Experience,Lockdown Phases and Transitions,Lockdown and Work,Lockdown and Neurodiversity,Supervisor Synonyms and Terms,Additional Contextual Terms,In the Context of Neurodiversity,Legal and Ethical
2020-05-01,16.0,3.0,3.0,2.0,1.0,5.0,1.0,0.0,6.0,31.0,15.0,4.0,0.0,3.0,7.0,0.0,0.0,2.0,2.0,5.0,15.0,8.0
2020-05-15,10.0,2.0,3.0,4.0,2.0,8.0,2.0,1.0,2.0,23.0,8.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,4.0,11.0,4.0
2020-05-16,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,21.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,2.0
2020-05-17,6.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,15.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0
2020-05-18,8.0,5.0,3.0,2.0,2.0,13.0,0.0,0.0,2.0,27.0,13.0,3.0,0.0,3.0,6.0,0.0,0.0,3.0,2.0,2.0,8.0,3.0
2020-05-19,4.0,1.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,30.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,7.0,0.0
2020-05-21,10.0,6.0,3.0,1.0,0.0,11.0,0.0,0.0,3.0,50.0,5.0,2.0,0.0,2.0,5.0,0.0,0.0,16.0,1.0,3.0,33.0,3.0
2020-05-23,11.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,5.0,12.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0
2020-05-25,8.0,2.0,3.0,0.0,1.0,4.0,2.0,0.0,2.0,23.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,16.0,2.0
2020-05-27,9.0,7.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,34.0,4.0,5.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,2.0,22.0,2.0
2020-05-30,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,13.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,7.0,6.0
2020-06-01,11.0,3.0,0.0,1.0,1.0,5.0,3.0,2.0,2.0,46.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,24.0,3.0
2020-06-04,10.0,5.0,4.0,2.0,0.0,3.0,1.0,0.0,2.0,33.0,5.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,17.0,5.0
2020-06-09,9.0,5.0,1.0,3.0,1.0,5.0,0.0,2.0,2.0,39.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,26.0,3.0
2020-06-10,16.0,16.0,5.0,4.0,0.0,3.0,1.0,0.0,5.0,45.0,14.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,8.0,28.0,7.0
2020-06-12,11.0,6.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,20.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,3.0
2020-06-14,9.0,0.0,5.0,1.0,5.0,2.0,0.0,1.0,4.0,32.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,17.0,4.0
2020-06-15,23.0,18.0,4.0,1.0,0.0,4.0,2.0,2.0,4.0,26.0,17.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,4.0,15.0,5.0
2020-06-17,30.0,7.0,9.0,2.0,2.0,13.0,1.0,1.0,13.0,60.0,17.0,4.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,3.0,27.0,14.0
2020-06-24,36.0,11.0,4.0,4.0,2.0,5.0,5.0,0.0,1.0,39.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,28.0,2.0
2020-06-25,11.0,7.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0,26.0,12.0,3.0,0.0,1.0,4.0,0.0,0.0,2.0,3.0,2.0,19.0,5.0
2020-06-26,18.0,8.0,3.0,3.0,0.0,3.0,3.0,0.0,5.0,34.0,24.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,6.0,22.0,8.0
2020-06-27,4.0,8.0,1.0,1.0,0.0,7.0,0.0,0.0,4.0,16.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,15.0,7.0
2020-06-29,10.0,6.0,0.0,2.0,2.0,3.0,2.0,1.0,5.0,17.0,4.0,1.0,0.0,0.0,8.0,1.0,0.0,2.0,3.0,3.0,9.0,3.0
2020-07-03,13.0,6.0,4.0,3.0,3.0,5.0,1.0,0.0,3.0,27.0,5.0,2.0,0.0,2.0,6.0,0.0,0.0,2.0,1.0,4.0,17.0,4.0
2020-07-06,16.0,13.0,0.0,2.0,2.0,6.0,2.0,0.0,7.0,27.0,8.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,4.0,20.0,5.0
2020-07-16,33.0,3.0,7.0,2.0,1.0,5.0,0.0,0.0,5.0,43.0,26.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,31.0,7.0
2020-07-17,10.0,7.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,26.0,11.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,5.0,2.0,15.0,4.0
2020-07-21,27.0,12.0,0.0,1.0,3.0,3.0,5.0,1.0,2.0,48.0,12.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,3.0,5.0,22.0,3.0
2020-07-23,38.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,44.0,13.0,4.0,0.0,1.0,7.0,0.0,1.0,1.0,1.0,2.0,20.0,5.0
2020-07-25,9.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,18.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0
2020-07-26,14.0,1.0,1.0,4.0,1.0,2.0,2.0,0.0,7.0,17.0,5.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,3.0,9.0,5.0
2020-07-28,18.0,6.0,4.0,2.0,1.0,5.0,2.0,0.0,5.0,39.0,8.0,2.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,5.0,29.0,3.0
2020-07-30,20.0,6.0,2.0,1.0,0.0,3.0,0.0,0.0,5.0,32.0,12.0,2.0,0.0,1.0,5.0,3.0,0.0,0.0,3.0,0.0,13.0,9.0
2020-08-01,8.0,6.0,7.0,2.0,1.0,8.0,0.0,0.0,3.0,21.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,5.0
2020-08-03,23.0,4.0,6.0,1.0,5.0,3.0,4.0,1.0,6.0,24.0,9.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,6.0,13.0,10.0
2020-08-07,12.0,4.0,3.0,2.0,0.0,9.0,1.0,1.0,2.0,34.0,12.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,2.0,3.0,19.0,1.0
2020-08-11,16.0,13.0,4.0,2.0,0.0,7.0,1.0,2.0,2.0,42.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,31.0,5.0
2020-08-13,28.0,5.0,4.0,2.0,0.0,4.0,2.0,1.0,2.0,38.0,5.0,0.0,0.0,1.0,9.0,0.0,0.0,5.0,9.0,4.0,18.0,1.0
2020-08-14,19.0,7.0,3.0,1.0,0.0,9.0,3.0,0.0,7.0,22.0,14.0,0.0,0.0,3.0,3.0,1.0,0.0,5.0,3.0,6.0,15.0,3.0
2020-08-15,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,4.0
2020-08-18,13.0,4.0,0.0,3.0,1.0,6.0,2.0,2.0,3.0,32.0,12.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,4.0,2.0,18.0,4.0
2020-08-19,25.0,7.0,7.0,1.0,0.0,5.0,1.0,1.0,2.0,37.0,14.0,2.0,0.0,2.0,9.0,0.0,0.0,1.0,5.0,1.0,17.0,3.0
2020-08-20,17.0,1.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,27.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,13.0,6.0
2020-08-22,7.0,1.0,4.0,4.0,0.0,10.0,2.0,0.0,7.0,21.0,11.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,1.0,6.0,8.0,7.0
2020-08-24,15.0,5.0,5.0,3.0,2.0,5.0,1.0,0.0,1.0,30.0,16.0,0.0,0.0,6.0,9.0,1.0,0.0,2.0,2.0,5.0,11.0,4.0
2020-08-25,17.0,2.0,2.0,3.0,2.0,7.0,1.0,2.0,1.0,17.0,4.0,0.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,5.0,7.0,1.0
2020-09-05,10.0,1.0,1.0,0.0,1.0,6.0,4.0,0.0,0.0,28.0,10.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,5.0,0.0,5.0,2.0
2020-09-08,18.0,6.0,6.0,2.0,0.0,8.0,4.0,1.0,3.0,55.0,20.0,0.0,0.0,4.0,7.0,0.0,0.0,3.0,4.0,4.0,29.0,12.0
2020-09-11,13.0,7.0,1.0,0.0,0.0,5.0,2.0,0.0,3.0,43.0,10.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,3.0,0.0,19.0,2.0
2020-09-14,13.0,5.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,41.0,17.0,0.0,0.0,7.0,2.0,7.0,0.0,6.0,3.0,4.0,19.0,4.0
2020-09-23,17.0,9.0,2.0,3.0,0.0,6.0,4.0,0.0,3.0,73.0,24.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,15.0,4.0
2020-09-25,27.0,13.0,3.0,1.0,1.0,4.0,0.0,0.0,5.0,82.0,9.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,5.0,30.0,8.0
