,Work,Supervisor
2020-05-01,83.0,30.0
2020-05-15,65.0,22.0
2020-05-16,37.0,8.0
2020-05-17,37.0,12.0
2020-05-18,75.0,15.0
2020-05-19,52.0,12.0
2020-05-21,89.0,40.0
2020-05-23,41.0,9.0
2020-05-25,50.0,18.0
2020-05-27,62.0,27.0
2020-05-30,32.0,16.0
2020-06-01,79.0,34.0
2020-06-04,65.0,27.0
2020-06-09,74.0,33.0
2020-06-10,109.0,44.0
2020-06-12,56.0,19.0
2020-06-14,62.0,23.0
2020-06-15,101.0,26.0
2020-06-17,155.0,45.0
2020-06-24,113.0,45.0
2020-06-25,66.0,29.0
2020-06-26,101.0,37.0
2020-06-27,50.0,25.0
2020-06-29,52.0,18.0
2020-07-03,70.0,26.0
2020-07-06,83.0,32.0
2020-07-16,125.0,42.0
2020-07-17,65.0,26.0
2020-07-21,114.0,33.0
2020-07-23,110.0,28.0
2020-07-25,44.0,12.0
2020-07-26,54.0,19.0
2020-07-28,90.0,39.0
2020-07-30,81.0,25.0
2020-08-01,62.0,15.0
2020-08-03,86.0,35.0
2020-08-07,80.0,25.0
2020-08-11,96.0,42.0
2020-08-13,91.0,32.0
2020-08-14,85.0,27.0
2020-08-15,31.0,13.0
2020-08-18,78.0,28.0
2020-08-19,100.0,26.0
2020-08-20,62.0,21.0
2020-08-22,67.0,22.0
2020-08-24,83.0,22.0
2020-08-25,58.0,13.0
2020-09-05,61.0,12.0
2020-09-08,123.0,49.0
2020-09-11,84.0,24.0
2020-09-14,90.0,30.0
2020-09-23,141.0,25.0
2020-09-25,145.0,45.0
2020-09-27,83.0,42.0
2020-09-29,153.0,43.0
2020-10-01,215.0,66.0
2020-10-02,151.0,48.0
2020-10-06,204.0,59.0
2020-10-07,186.0,65.0
2020-10-08,142.0,35.0
2020-10-13,176.0,47.0
2020-10-16,79.0,31.0
2020-10-22,133.0,51.0
2020-10-23,131.0,55.0
2020-10-25,68.0,32.0
2020-10-26,111.0,41.0
2020-10-28,250.0,99.0
2020-11-01,49.0,16.0
2020-11-02,116.0,52.0
2020-11-05,103.0,33.0
2020-11-12,112.0,48.0
2020-11-13,120.0,67.0
2020-11-14,85.0,40.0
2020-11-17,140.0,53.0
2020-11-18,145.0,56.0
2020-11-19,99.0,45.0
2020-11-20,136.0,61.0
2020-11-21,118.0,50.0
2020-11-22,79.0,28.0
2020-11-24,93.0,31.0
2020-11-25,113.0,42.0
2020-11-26,134.0,66.0
2020-11-28,48.0,28.0
2020-12-01,194.0,91.0
2020-12-02,121.0,59.0
2020-12-03,185.0,89.0
2020-12-04,125.0,44.0
2020-12-09,185.0,87.0
2020-12-10,102.0,58.0
2020-12-11,109.0,34.0
2020-12-13,47.0,18.0
2020-12-15,100.0,39.0
2020-12-16,118.0,42.0
2020-12-19,64.0,29.0
2020-12-21,98.0,37.0
2020-12-23,96.0,35.0
2020-12-24,84.0,40.0
2020-12-26,31.0,11.0
2020-12-27,32.0,21.0
2020-12-30,67.0,26.0
2021-01-01,54.0,23.0
2021-01-04,82.0,41.0
2021-01-05,104.0,43.0
2021-01-08,93.0,35.0
2021-01-12,130.0,46.0
2021-01-13,146.0,45.0
2021-01-16,50.0,12.0
2021-01-19,149.0,51.0
2021-01-20,161.0,67.0
2021-01-22,127.0,43.0
2021-01-24,82.0,31.0
2021-01-27,173.0,64.0
2021-01-28,122.0,55.0
2021-01-30,60.0,29.0
2021-02-01,109.0,50.0
2021-02-02,96.0,38.0
2021-02-03,117.0,38.0
2021-02-05,130.0,50.0
2021-02-08,153.0,52.0
2021-02-10,108.0,36.0
2021-02-11,99.0,37.0
2021-02-13,118.0,48.0
2021-02-15,108.0,48.0
2021-02-17,114.0,44.0
2021-02-21,72.0,27.0
2021-02-22,130.0,59.0
2021-02-23,162.0,66.0
2021-02-24,173.0,74.0
2021-02-25,165.0,46.0
2021-03-01,123.0,36.0
2021-03-02,118.0,61.0
2021-03-05,119.0,46.0
2021-03-06,60.0,28.0
2021-03-07,59.0,29.0
2021-03-08,112.0,42.0
2021-03-09,130.0,37.0
2021-03-12,187.0,90.0
2021-03-15,408.0,132.0
2021-03-16,322.0,93.0
2021-03-17,314.0,102.0
2021-03-18,271.0,73.0
2021-03-19,311.0,74.0
2021-03-20,101.0,33.0
2021-03-21,102.0,41.0
2021-03-22,171.0,76.0
2021-03-23,197.0,67.0
2021-03-24,151.0,71.0
2021-03-26,159.0,51.0
2021-03-27,90.0,31.0
2021-03-28,92.0,32.0
2021-03-29,363.0,110.0
2021-03-30,275.0,65.0
2021-04-01,555.0,117.0
2021-04-02,1454.0,254.0
2021-04-03,383.0,83.0
2021-04-05,306.0,64.0
2021-04-06,242.0,70.0
2021-04-07,278.0,85.0
2021-04-08,283.0,88.0
2021-04-09,231.0,58.0
2021-04-10,164.0,37.0
2021-04-12,252.0,68.0
2021-04-13,258.0,79.0
2021-04-15,306.0,99.0
2021-04-16,236.0,64.0
2021-04-17,87.0,26.0
2021-04-19,216.0,72.0
2021-04-20,213.0,74.0
2021-04-23,245.0,118.0
2021-04-24,86.0,30.0
2021-04-25,115.0,32.0
2021-04-27,275.0,87.0
2021-04-28,204.0,62.0
2021-04-29,258.0,100.0
