"","word","idf","word","n"
"1","be",0.465264410066325,"be",8396
"2","neurodiversity",0.498536003547466,"to",6549
"3","to",0.596794285722436,"the",5864
"4","the",0.695551991338125,"and",5369
"5","and",0.713366227613252,"neurodiversity",4825
"6","a",0.896341592864625,"a",4380
"7","of",0.926888456655755,"of",3987
"8","in",1.08312041975435,"in",3286
"9","for",1.1295090552406,"for",2839
"10","it",1.44368828519385,"i",2409
"11","this",1.56621687637938,"it",2299
"12","with",1.58883496496715,"you",1893
"13","i",1.59342062645847,"that",1885
"14","that",1.61465566458889,"this",1797
"15","have",1.6207101734976,"have",1784
"16","on",1.626801562891,"with",1760
"17","you",1.70294827173457,"on",1705
"18","week",1.71030124603983,"we",1566
"19","do",1.82100607040958,"week",1514
"20","we",1.83261482432612,"do",1457
"21","about",1.84099008266285,"about",1369
"22","much",1.93529151994721,"much",1276
"23","can",2.03226667099917,"take",1092
"24","out",2.09206424184121,"my",1089
"25","celebration",2.10951288517615,"can",1081
"26","our",2.11724345929101,"our",1079
"27","people",2.11946321602932,"amp",1059
"28","my",2.18489102135178,"people",1009
"29","as",2.20768744944416,"as",1005
"30","at",2.21011758429745,"part",1003
"31","all",2.21744362438953,"out",956
"32","amp",2.30579279422082,"celebration",919
"33","but",2.36935009231904,"school",904
"34","part",2.37507256859311,"at",900
"35","take",2.37938601884683,"all",894
"36","how",2.4101126497089,"but",751
"37","from",2.42207093869778,"how",732
"38","school",2.4235758298772,"autism",729
"39","autism",2.45260766255786,"so",716
"40","so",2.50186305120649,"from",704
"41","what",2.55538753162219,"or",650
"42","or",2.61012317020072,"what",637
"43","me",2.61558269240562,"me",627
"44","if",2.63028883979531,"your",619
"45","good",2.63585988484477,"support",584
"46","by",2.64333655518779,"if",582
"47","your",2.66802916777816,"good",580
"48","support",2.67188273709415,"by",570
"49","us",2.68744725363526,"us",561
"50","celebrate",2.69928171128226,"im",548
"51","work",2.70126780925389,"learn",547
"52","learn",2.70525187826877,"work",542
"53","make",2.72134880531094,"like",535
"54","will",2.72949548987876,"celebrate",533
"55","like",2.74391386530303,"will",533
"56","who",2.74599070924787,"make",526
"57","im",2.78629308827189,"they",520
"58","think",2.79717458845943,"who",515
"59","they",2.83054809727593,"think",498
"60","shout",2.83508325244133,"their",457
"61","just",2.84881344525323,"just",456
"62","over",2.87448580030735,"shout",444
"63","their",2.91059080494947,"autistic",436
"64","now",2.92292141740695,"over",430
"65","get",2.92540589073461,"adhd",427
"66","adhd",2.95571124022994,"get",425
"67","some",2.95827863573519,"some",420
"68","other",2.96343328632385,"other",417
"69","register",2.9660206098888,"need",416
"70","neurodiverse",2.97643737074706,"now",411
"71","need",2.9816867266332,"neurodiverse",410
"72","link",3.00027955970982,"know",407
"73","here",3.00296412508049,"student",402
"74","autistic",3.00296412508049,"there",398
"75","see",3.00835497371536,"talk",393
"76","there",3.00835497371536,"here",391
"77","know",3.01106133531311,"register",388
"78","different",3.02470411171689,"see",387
"79","student",3.03021376752786,"one",385
"80","one",3.03298002102075,"different",382
"81","talk",3.03853559086535,"link",377
"82","way",3.08997550207012,"way",362
