end,start,tweet_count
2020-05-02T00:00:00.000Z,2020-05-01T00:00:00.000Z,295
2020-05-03T00:00:00.000Z,2020-05-02T00:00:00.000Z,196
2020-05-04T00:00:00.000Z,2020-05-03T00:00:00.000Z,146
2020-05-05T00:00:00.000Z,2020-05-04T00:00:00.000Z,286
2020-05-06T00:00:00.000Z,2020-05-05T00:00:00.000Z,268
2020-05-07T00:00:00.000Z,2020-05-06T00:00:00.000Z,233
2020-05-08T00:00:00.000Z,2020-05-07T00:00:00.000Z,349
2020-05-09T00:00:00.000Z,2020-05-08T00:00:00.000Z,231
2020-05-10T00:00:00.000Z,2020-05-09T00:00:00.000Z,162
2020-05-11T00:00:00.000Z,2020-05-10T00:00:00.000Z,113
2020-05-12T00:00:00.000Z,2020-05-11T00:00:00.000Z,215
2020-05-13T00:00:00.000Z,2020-05-12T00:00:00.000Z,242
2020-05-14T00:00:00.000Z,2020-05-13T00:00:00.000Z,288
2020-05-15T00:00:00.000Z,2020-05-14T00:00:00.000Z,277
2020-05-16T00:00:00.000Z,2020-05-15T00:00:00.000Z,558
2020-05-17T00:00:00.000Z,2020-05-16T00:00:00.000Z,231
2020-05-18T00:00:00.000Z,2020-05-17T00:00:00.000Z,188
2020-05-19T00:00:00.000Z,2020-05-18T00:00:00.000Z,243
2020-05-20T00:00:00.000Z,2020-05-19T00:00:00.000Z,271
2020-05-21T00:00:00.000Z,2020-05-20T00:00:00.000Z,259
2020-05-22T00:00:00.000Z,2020-05-21T00:00:00.000Z,307
2020-05-23T00:00:00.000Z,2020-05-22T00:00:00.000Z,267
2020-05-24T00:00:00.000Z,2020-05-23T00:00:00.000Z,179
2020-05-25T00:00:00.000Z,2020-05-24T00:00:00.000Z,161
2020-05-26T00:00:00.000Z,2020-05-25T00:00:00.000Z,242
2020-05-27T00:00:00.000Z,2020-05-26T00:00:00.000Z,288
2020-05-28T00:00:00.000Z,2020-05-27T00:00:00.000Z,277
2020-05-29T00:00:00.000Z,2020-05-28T00:00:00.000Z,238
2020-05-30T00:00:00.000Z,2020-05-29T00:00:00.000Z,300
2020-05-31T00:00:00.000Z,2020-05-30T00:00:00.000Z,153
2020-06-02T00:00:00.000Z,2020-06-01T00:00:00.000Z,493
2020-06-03T00:00:00.000Z,2020-06-02T00:00:00.000Z,422
2020-06-04T00:00:00.000Z,2020-06-03T00:00:00.000Z,341
2020-06-05T00:00:00.000Z,2020-06-04T00:00:00.000Z,357
2020-06-06T00:00:00.000Z,2020-06-05T00:00:00.000Z,293
2020-06-07T00:00:00.000Z,2020-06-06T00:00:00.000Z,164
2020-06-08T00:00:00.000Z,2020-06-07T00:00:00.000Z,528
2020-06-09T00:00:00.000Z,2020-06-08T00:00:00.000Z,261
2020-06-10T00:00:00.000Z,2020-06-09T00:00:00.000Z,297
2020-06-11T00:00:00.000Z,2020-06-10T00:00:00.000Z,348
2020-06-12T00:00:00.000Z,2020-06-11T00:00:00.000Z,407
2020-06-13T00:00:00.000Z,2020-06-12T00:00:00.000Z,194
2020-06-14T00:00:00.000Z,2020-06-13T00:00:00.000Z,169
2020-06-15T00:00:00.000Z,2020-06-14T00:00:00.000Z,162
2020-06-16T00:00:00.000Z,2020-06-15T00:00:00.000Z,305
2020-06-17T00:00:00.000Z,2020-06-16T00:00:00.000Z,455
2020-06-18T00:00:00.000Z,2020-06-17T00:00:00.000Z,470
2020-06-19T00:00:00.000Z,2020-06-18T00:00:00.000Z,596
2020-06-20T00:00:00.000Z,2020-06-19T00:00:00.000Z,307
2020-06-21T00:00:00.000Z,2020-06-20T00:00:00.000Z,283
2020-06-22T00:00:00.000Z,2020-06-21T00:00:00.000Z,391
2020-06-23T00:00:00.000Z,2020-06-22T00:00:00.000Z,751
2020-06-24T00:00:00.000Z,2020-06-23T00:00:00.000Z,551
2020-06-25T00:00:00.000Z,2020-06-24T00:00:00.000Z,470
2020-06-26T00:00:00.000Z,2020-06-25T00:00:00.000Z,308
2020-06-27T00:00:00.000Z,2020-06-26T00:00:00.000Z,370
2020-06-28T00:00:00.000Z,2020-06-27T00:00:00.000Z,271
2020-06-29T00:00:00.000Z,2020-06-28T00:00:00.000Z,253
2020-06-30T00:00:00.000Z,2020-06-29T00:00:00.000Z,298
2020-07-02T00:00:00.000Z,2020-07-01T00:00:00.000Z,596
2020-07-03T00:00:00.000Z,2020-07-02T00:00:00.000Z,612
2020-07-04T00:00:00.000Z,2020-07-03T00:00:00.000Z,409
2020-07-05T00:00:00.000Z,2020-07-04T00:00:00.000Z,279
2020-07-06T00:00:00.000Z,2020-07-05T00:00:00.000Z,268
2020-07-07T00:00:00.000Z,2020-07-06T00:00:00.000Z,267
2020-07-08T00:00:00.000Z,2020-07-07T00:00:00.000Z,311
2020-07-09T00:00:00.000Z,2020-07-08T00:00:00.000Z,434
2020-07-10T00:00:00.000Z,2020-07-09T00:00:00.000Z,345
2020-07-11T00:00:00.000Z,2020-07-10T00:00:00.000Z,309
2020-07-12T00:00:00.000Z,2020-07-11T00:00:00.000Z,334
2020-07-13T00:00:00.000Z,2020-07-12T00:00:00.000Z,246
2020-07-14T00:00:00.000Z,2020-07-13T00:00:00.000Z,299
2020-07-15T00:00:00.000Z,2020-07-14T00:00:00.000Z,494
2020-07-16T00:00:00.000Z,2020-07-15T00:00:00.000Z,449
2020-07-17T00:00:00.000Z,2020-07-16T00:00:00.000Z,432
2020-07-18T00:00:00.000Z,2020-07-17T00:00:00.000Z,342
2020-07-19T00:00:00.000Z,2020-07-18T00:00:00.000Z,275
2020-07-20T00:00:00.000Z,2020-07-19T00:00:00.000Z,508
2020-07-21T00:00:00.000Z,2020-07-20T00:00:00.000Z,326
2020-07-22T00:00:00.000Z,2020-07-21T00:00:00.000Z,410
2020-07-23T00:00:00.000Z,2020-07-22T00:00:00.000Z,504
2020-07-24T00:00:00.000Z,2020-07-23T00:00:00.000Z,451
2020-07-25T00:00:00.000Z,2020-07-24T00:00:00.000Z,450
2020-07-26T00:00:00.000Z,2020-07-25T00:00:00.000Z,280
2020-07-27T00:00:00.000Z,2020-07-26T00:00:00.000Z,259
2020-07-28T00:00:00.000Z,2020-07-27T00:00:00.000Z,389
2020-07-29T00:00:00.000Z,2020-07-28T00:00:00.000Z,382
2020-07-30T00:00:00.000Z,2020-07-29T00:00:00.000Z,431
2020-07-31T00:00:00.000Z,2020-07-30T00:00:00.000Z,432
2020-08-02T00:00:00.000Z,2020-08-01T00:00:00.000Z,355
2020-08-03T00:00:00.000Z,2020-08-02T00:00:00.000Z,297
2020-08-04T00:00:00.000Z,2020-08-03T00:00:00.000Z,285
2020-08-05T00:00:00.000Z,2020-08-04T00:00:00.000Z,535
2020-08-06T00:00:00.000Z,2020-08-05T00:00:00.000Z,512
2020-08-07T00:00:00.000Z,2020-08-06T00:00:00.000Z,310
2020-08-08T00:00:00.000Z,2020-08-07T00:00:00.000Z,403
2020-08-09T00:00:00.000Z,2020-08-08T00:00:00.000Z,305
2020-08-10T00:00:00.000Z,2020-08-09T00:00:00.000Z,1082
2020-08-11T00:00:00.000Z,2020-08-10T00:00:00.000Z,619
2020-08-12T00:00:00.000Z,2020-08-11T00:00:00.000Z,394
2020-08-13T00:00:00.000Z,2020-08-12T00:00:00.000Z,297
2020-08-14T00:00:00.000Z,2020-08-13T00:00:00.000Z,300
2020-08-15T00:00:00.000Z,2020-08-14T00:00:00.000Z,300
2020-08-16T00:00:00.000Z,2020-08-15T00:00:00.000Z,191
2020-08-17T00:00:00.000Z,2020-08-16T00:00:00.000Z,183
2020-08-18T00:00:00.000Z,2020-08-17T00:00:00.000Z,318
2020-08-19T00:00:00.000Z,2020-08-18T00:00:00.000Z,488
2020-08-20T00:00:00.000Z,2020-08-19T00:00:00.000Z,529
2020-08-21T00:00:00.000Z,2020-08-20T00:00:00.000Z,456
2020-08-22T00:00:00.000Z,2020-08-21T00:00:00.000Z,466
2020-08-23T00:00:00.000Z,2020-08-22T00:00:00.000Z,241
2020-08-24T00:00:00.000Z,2020-08-23T00:00:00.000Z,281
2020-08-25T00:00:00.000Z,2020-08-24T00:00:00.000Z,402
2020-08-26T00:00:00.000Z,2020-08-25T00:00:00.000Z,1032
2020-08-27T00:00:00.000Z,2020-08-26T00:00:00.000Z,442
2020-08-28T00:00:00.000Z,2020-08-27T00:00:00.000Z,309
2020-08-29T00:00:00.000Z,2020-08-28T00:00:00.000Z,318
2020-08-30T00:00:00.000Z,2020-08-29T00:00:00.000Z,198
2020-08-31T00:00:00.000Z,2020-08-30T00:00:00.000Z,205
2020-09-02T00:00:00.000Z,2020-09-01T00:00:00.000Z,475
2020-09-03T00:00:00.000Z,2020-09-02T00:00:00.000Z,284
2020-09-04T00:00:00.000Z,2020-09-03T00:00:00.000Z,382
2020-09-05T00:00:00.000Z,2020-09-04T00:00:00.000Z,301
2020-09-06T00:00:00.000Z,2020-09-05T00:00:00.000Z,237
2020-09-07T00:00:00.000Z,2020-09-06T00:00:00.000Z,231
2020-09-08T00:00:00.000Z,2020-09-07T00:00:00.000Z,341
2020-09-09T00:00:00.000Z,2020-09-08T00:00:00.000Z,446
2020-09-10T00:00:00.000Z,2020-09-09T00:00:00.000Z,438
2020-09-11T00:00:00.000Z,2020-09-10T00:00:00.000Z,454
2020-09-12T00:00:00.000Z,2020-09-11T00:00:00.000Z,373
2020-09-13T00:00:00.000Z,2020-09-12T00:00:00.000Z,250
2020-09-14T00:00:00.000Z,2020-09-13T00:00:00.000Z,253
2020-09-15T00:00:00.000Z,2020-09-14T00:00:00.000Z,453
2020-09-16T00:00:00.000Z,2020-09-15T00:00:00.000Z,459
2020-09-17T00:00:00.000Z,2020-09-16T00:00:00.000Z,383
2020-09-18T00:00:00.000Z,2020-09-17T00:00:00.000Z,367
2020-09-19T00:00:00.000Z,2020-09-18T00:00:00.000Z,485
2020-09-20T00:00:00.000Z,2020-09-19T00:00:00.000Z,285
2020-09-21T00:00:00.000Z,2020-09-20T00:00:00.000Z,380
