word,lexicon
a,ngram
as,ngram
about,ngram
according,ngram
accordingly,ngram
across,ngram
actually,ngram
afterwards,ngram
again,ngram
aint,ngram
all,ngram
allows,ngram
almost,ngram
along,ngram
already,ngram
also,ngram
although,ngram
amongst,ngram
an,ngram
and,ngram
another,ngram
any,ngram
anybody,ngram
anyhow,ngram
anyone,ngram
anything,ngram
anyway,ngram
anyways,ngram
apart,ngram
appear,ngram
are,ngram
arent,ngram
around,ngram
as,ngram
aside,ngram
ask,ngram
asking,ngram
associated,ngram
at,ngram
available,ngram
away,ngram
awfully,ngram
be,ngram
became,ngram
because,ngram
become,ngram
becomes,ngram
becoming,ngram
been,ngram
beforehand,ngram
behind,ngram
beside,ngram
besides,ngram
between,ngram
both,ngram
brief,ngram
but,ngram
by,ngram
cmon,ngram
came,ngram
can,ngram
cant,ngram
cannot,ngram
cant,ngram
causes,ngram
certain,ngram
certainly,ngram
changes,ngram
clearly,ngram
co,ngram
com,ngram
come,ngram
comes,ngram
concerning,ngram
consequently,ngram
considering,ngram
contain,ngram
containing,ngram
contains,ngram
corresponding,ngram
could,ngram
couldnt,ngram
course,ngram
currently,ngram
definitely,ngram
described,ngram
did,ngram
didnt,ngram
do,ngram
does,ngram
doesnt,ngram
doing,ngram
dont,ngram
done,ngram
down,ngram
downwards,ngram
during,ngram
each,ngram
edu,ngram
eg,ngram
eight,ngram
either,ngram
else,ngram
elsewhere,ngram
entirely,ngram
especially,ngram
et,ngram
etc,ngram
even,ngram
ever,ngram
every,ngram
everybody,ngram
everyone,ngram
everything,ngram
everywhere,ngram
ex,ngram
exactly,ngram
example,ngram
except,ngram
far,ngram
few,ngram
fifth,ngram
first,ngram
five,ngram
followed,ngram
following,ngram
follows,ngram
for,ngram
former,ngram
formerly,ngram
forth,ngram
four,ngram
from,ngram
further,ngram
furthermore,ngram
get,ngram
gets,ngram
getting,ngram
given,ngram
gives,ngram
go,ngram
goes,ngram
going,ngram
gone,ngram
got,ngram
gotten,ngram
greetings,ngram
had,ngram
hadnt,ngram
happens,ngram
hardly,ngram
has,ngram
hasnt,ngram
have,ngram
havent,ngram
having,ngram
he,ngram
hes,ngram
hello,ngram
help,ngram
hence,ngram
her,ngram
here,ngram
heres,ngram
hereafter,ngram
hereby,ngram
herein,ngram
hereupon,ngram
hers,ngram
herself,ngram
hi,ngram
him,ngram
himself,ngram
his,ngram
hither,ngram
hopefully,ngram
how,ngram
howbeit,ngram
however,ngram
i,ngram
id,ngram
ill,ngram
im,ngram
ive,ngram
ie,ngram
if,ngram
ignored,ngram
immediate,ngram
in,ngram
inasmuch,ngram
inc,ngram
indeed,ngram
indicate,ngram
indicated,ngram
indicates,ngram
inner,ngram
insofar,ngram
instead,ngram
into,ngram
inward,ngram
is,ngram
isnt,ngram
it,ngram
itd,ngram
itll,ngram
its,ngram
its,ngram
itself,ngram
just,ngram
keep,ngram
keeps,ngram
kept,ngram
know,ngram
knows,ngram
known,ngram
last,ngram
lately,ngram
later,ngram
latter,ngram
latterly,ngram
least,ngram
less,ngram
lest,ngram
let,ngram
lets,ngram
like,ngram
liked,ngram
likely,ngram
little,ngram
look,ngram
looking,ngram
looks,ngram
lot,ngram
ltd,ngram
mainly,ngram
many,ngram
may,ngram
maybe,ngram
me,ngram
mean,ngram
meanwhile,ngram
merely,ngram
might,ngram
more,ngram
moreover,ngram
most,ngram
mostly,ngram
much,ngram
must,ngram
name,ngram
namely,ngram
near,ngram
nearly,ngram
neither,ngram
never,ngram
nevertheless,ngram
new,ngram
next,ngram
nine,ngram
no,ngram
nobody,ngram
non,ngram
none,ngram
noone,ngram
nor,ngram
normally,ngram
not,ngram
nothing,ngram
novel,ngram
now,ngram
nowhere,ngram
obviously,ngram
of,ngram
off,ngram
often,ngram
oh,ngram
ok,ngram
okay,ngram
old,ngram
on,ngram
once,ngram
one,ngram
ones,ngram
only,ngram
onto,ngram
or,ngram
other,ngram
others,ngram
otherwise,ngram
ought,ngram
out,ngram
outside,ngram
over,ngram
overall,ngram
own,ngram
particular,ngram
particularly,ngram
per,ngram
perhaps,ngram
placed,ngram
please,ngram
plus,ngram
presumably,ngram
probably,ngram
provides,ngram
que,ngram
quite,ngram
qv,ngram
rather,ngram
rd,ngram
re,ngram
really,ngram
reasonably,ngram
regarding,ngram
regardless,ngram
regards,ngram
relatively,ngram
respectively,ngram
right,ngram
said,ngram
same,ngram
saw,ngram
say,ngram
saying,ngram
says,ngram
second,ngram
secondly,ngram
see,ngram
seeing,ngram
seem,ngram
seemed,ngram
seeming,ngram
seems,ngram
seen,ngram
self,ngram
selves,ngram
sensible,ngram
sent,ngram
seriously,ngram
seven,ngram
several,ngram
shall,ngram
she,ngram
should,ngram
shouldnt,ngram
since,ngram
six,ngram
so,ngram
some,ngram
somebody,ngram
somehow,ngram
someone,ngram
something,ngram
sometime,ngram
sometimes,ngram
somewhat,ngram
somewhere,ngram
soon,ngram
sorry,ngram
specified,ngram
specify,ngram
specifying,ngram
still,ngram
sub,ngram
such,ngram
sup,ngram
sure,ngram
ts,ngram
take,ngram
taken,ngram
tell,ngram
tends,ngram
th,ngram
than,ngram
thank,ngram
thanks,ngram
thanx,ngram
that,ngram
thats,ngram
the,ngram
then,ngram
thence,ngram
there,ngram
theres,ngram
thereafter,ngram
thereby,ngram
therefore,ngram
therein,ngram
theres,ngram
thereupon,ngram
these,ngram
they,ngram
theyd,ngram
theyll,ngram
theyre,ngram
theyve,ngram
third,ngram
this,ngram
thorough,ngram
thoroughly,ngram
those,ngram
though,ngram
three,ngram
through,ngram
throughout,ngram
thru,ngram
thus,ngram
to,ngram
too,ngram
took,ngram
toward,ngram
towards,ngram
tried,ngram
tries,ngram
truly,ngram
try,ngram
trying,ngram
twice,ngram
two,ngram
un,ngram
under,ngram
unfortunately,ngram
unless,ngram
unlikely,ngram
until,ngram
unto,ngram
up,ngram
upon,ngram
us,ngram
use,ngram
used,ngram
useful,ngram
uses,ngram
using,ngram
usually,ngram
uucp,ngram
various,ngram
very,ngram
via,ngram
viz,ngram
vs,ngram
w,ngram
want,ngram
wants,ngram
