"X","user_username","text","tweet_id","lang","sourcetweet_type","quote_count"
213,"BedsCHS","Our #DiagnosisSupportPack is your friendly guide to what to expect at a neurodiversity clinic appointment.
If you need help on this and so much more just go to to get started! ",1498599129286688768,"en","999",0
617,"thecoinhunter","Neurodivergence: Provoking a New Mind Sight - via @smedian_network #ArtificialIntelligence #Neurodiversity #Neuroscience #Humanity ",1498947751224164352,"en","999",0
737,"HeartEdge_","Check out ""Shut In Shut Out Shut Up"" @Eventbrite. Exploring the intersectional experience of disability and neurodiversity, gender, mental health, sexuality, race and poverty.",1498983987318079488,"en","999",0
763,"mozillafestival","Join the Creating Neurodiverse Wellbeing Space at #MozFest 2022 to explore #neurodiversity in the digital age. 

If you're interested in breaking down barriers &amp; building networks of trust &amp; equity, secure your MozFest ticket here.",1498971831646232576,"en","999",2
960,"BeyondTheDoorTO","Children with Autism are very observant, so they will notice everything, including your attitude towards them #autism #asd #autismontario #autismspectrum #BeTheChange  #neurodiversity #endthestigma @autismONT @autismCanada @geneva_centre  @autism @ONTSpecialNeeds @ONTABA1 ",1499037796492787712,"en","999",0
1419,"thecoinhunter","Neurodivergence: Provoking a New Mind Sight - via @smedian_network #ArtificialIntelligence #Neurodiversity #Neuroscience #Humanity ",1499310901463515136,"en","999",0
1440,"DI_Leaders","Neurodiversity at Work 2022 - 24 May. Online one-seminar featuring 12 speakers sharing practical advice, including:
- @OriChand @avivaplc 
- @Aidan_Healy @LexxicLtd
- @BrissettBailey 
- Rachel Pears @RPCLaw
Details: #DILeaders #Inclusion #Neurodiversity ",1499304828115300352,"en","999",0
1752,"HaleyBring","@PCIT_Inc Working as a clinical social worker with children and parents surrounding an array of needs, but particularly in the area of neurodiversity and trauma, I would love the opportunity to be trained in an evidence based practice that benefits my youngest clients!",1499390299986178048,"en","999",0
1753,"HaleyBring","@PCIT_Inc Working as a clinical social worker with children and parents surrounding an array of needs, but particularly in the area of neurodiversity and trauma, I would love the opportunity to be trained in an evidence based practice that benefits my youngest clients!",1499390223171690496,"en","999",0
1754,"HaleyBring","@PCIT_Inc Working as a clinical social worker with children and parents surrounding an array of needs, but particularly in the area of neurodiversity and trauma, I would love the opportunity to be trained in an evidence based practice that benefits my youngest clients!",1499390179584491520,"en","999",0
