"X","user_username","text","tweet_id","lang","sourcetweet_type","quote_count","user_verified","extracted_hashtags","tagged"
228,"StudyUCEM","👋 Meet our disability and welfare team! The team is hosting a webinar for applicants this evening to talk you through all the support available when studying with a disability, neurodiversity or health condition. Visit to register!

 ",1498587227277955072,"en","999",0,TRUE,"#BuiltForSupport",""
250,"cmi_managers","What would happen if the world viewed   differently? If everyone noticed the strengths that can come from these differences first, instead of the challenges?🤔

 shares some fantastic insights👇🏼

",1498695554569805824,"en","999",1,TRUE,"#Neurodiversity","@NancyDoylePsych"
276,"rmpbs","“We wanted Ross to be able to experience a complete life, one where he can have meaningful work, one where he can live in a community where he’s respected and has friends.""

Welcome to Tall Tales Ranch.

",1498677257950445568,"en","999",0,TRUE,"",""
308,"SurreyPolice","Women’s History Month &amp;International Women’s Day are coming up this month. In celebration of all women, we're hosting a workshop on  with internal&amp; external speakers. We will cover various topics like: nutrition, lifestyle for shift workers, neurodiversity . ",1498659669283332096,"en","999",1,TRUE,"#IWD2022 #BreakTheBias",""
385,"BadAstronomer","NASA's Neurodiversity Network is looking for high school interns for summer 2022! You can read more about this and apply here:

",1498725492400312320,"en","999",0,TRUE,"",""
415,"OneMindOrg","Today is . There are far too many individuals who have been discriminated against because of their mental health or mental health condition. It’s crucial that we continue to fight the stigma surrounding brain health and embrace neurodiversity. ",1498705232053903360,"en","999",0,TRUE,"#ZeroDiscriminationDay",""
666,"AucklandUni","Professor  of  says teacher training needs to include more guidance on educating neurodiverse children - those with the likes of dyslexia, ADHD and autism spectrum disorder.   ",1498923566959669248,"en","999",0,TRUE,"#education #neurodiversity","@WaldieKaren @PsychUoA"
673,"sarahnadav","Neurodiversity is a super power in the tech world.",1498919891465908224,"en","999",0,TRUE,"",""
762,"mozillafestival","Join the Creating Neurodiverse Wellbeing Space at  2022 to explore  in the digital age. 

If you're interested in breaking down barriers &amp; building networks of trust &amp; equity, secure your MozFest ticket here.",1498971945844588544,"en","999",1,TRUE,"#MozFest #neurodiversity",""
763,"mozillafestival","Join the Creating Neurodiverse Wellbeing Space at  2022 to explore  in the digital age. 

If you're interested in breaking down barriers &amp; building networks of trust &amp; equity, secure your MozFest ticket here.",1498971831646232576,"en","999",2,TRUE,"#MozFest #neurodiversity",""
906,"LSEPhilosophy","""Philosophy is the art of dancing with big ideas, and the biggest of ideas often require a new perspective.""

Sam Crutcher from  explores philosophy and neurodiversity in this NEW POST from the  Philosophy Blog.

",1499057946520481792,"en","999",1,TRUE,"#LSE","@LSESocialPolicy"
1364,"AllieLarkin"," Yeah. I also just saw a meme calling out a person of horrible actions for failing the GED🙄 Failing a test could be neurodiversity related or anxiety or so many things that don’t matter in relation to a person’s hateful/destructive actions. The actions are the thing to point at",1499168272985780224,"en","999",0,TRUE,"","@courtneylcraig"
1375,"dyslexicadv","[Premium] Is Multiple Choice Testing the best testing format for students with dyslexia? Find out⬇
      ",1499157612557918208,"en","999",0,TRUE,"#dyslexia #dyslexicadvantage #neurodiversity #multiplechoice #testing #dyslexicstudents #assessments",""
1492,"TheDrum","It took James Marsden () 5 years to disclose his hidden disability to his manager for fear of seeming 'weak' 

He says companies have a long way to go when it comes to accommodating people like him.

   ",1499350227223941120,"en","999",0,TRUE,"#Neurodiversity #Disability #Accessibility","@RAPP"
1498,"NeilMilliken","Hi  Learn about the work of some amazing people working in our space. You can sign up for the Celebrating  Awards from this link. ",1499347506911719424,"en","999",0,TRUE,"#neurodiersesquad #Neurodiversity",""
1716,"KnowsleyCouncil","Knowsley Council and  have teamed up to deliver free webinars to raise awareness of learning disabilities and neurodiverse conditions. The one-hour session is completely free to attend.

",1499399260080521216,"en","999",1,TRUE,"","@lpoolcouncil"
1768,"SANSInstitute","Join us for ! This Summit will be packed with content developed by and for ND  professionals and invaluable to anyone who manages, reports to, works with, or wants to support ND colleagues/friends.

Register now for FREE: ",1499448737235668992,"en","999",3,TRUE,"#NeurodiversitySummit #cybersecurity",""
1974,"dralissajay","The  field has 3.5 million job openings according to Cybersecurity Ventures . Thought leadership from  on . via ",1499512637792702464,"en","999",0,TRUE,"#Cybersecurity #Neurodiversity","@CybersecuritySF @BankofAmerica @businessinsider"
2000,"ScienceUoA","Professor Karen Waldie from the  wants educators to be able to access more knowledge to improve outcomes for neurodiverse learners and prevent them ending up with mental health issues in later life.
Explore more⬇️
",1499505503767916544,"en","999",0,TRUE,"","@PsychUoA"
2078,"OISTedu","""If you've met one person with , you've met one person with autism."" 

Many thanks to the panelists and the Asperger / Autism Network for sharing their lived experiences in the research community and knowledge on understanding . ",1499562175475634176,"en","999",0,TRUE,"#autism #neurodiversity",""
2256,"A_L_T","[ Blog] Neurodivergence and online learning through the pandemic: What is neurodiversity Post 1 of 3  ",1499739450741383168,"en","999",1,TRUE,"#ALTC #altc",""
2346,"jobs_gc","Help us spread the word! 
The Neurodiversity at Work recruitment program aims to hire people on the autism spectrum, or who identify as neurodivergent, for a number of positions in the . See all the job openings &amp; apply by March 15, 2022, here: ",1499793801396822016,"en","999",0,TRUE,"#GC",""
2359,"npaa_uk"," Neuro-uniformity is an opposite of neurodiversity, although you could go for neuro-similar in that sentence to avoid mental images of everyone wearing the same clothes 😀",1499787426805567488,"en","999",0,TRUE,"","@SueReviews"
2369,"PACEYchildcare","Our next PACEY Live webinar is at 7pm on Thursday 17 March 💻
We'll be joined by Dr Pooja Sharma, Senior Development Officer at , as we explore Neurodiversity in the early years. PACEY Members can register for the webinar for FREE here - ",1499783481915846656,"en","999",0,TRUE,"","@CDC_tweets"
2446,"MDBiz","'s Meaningful Community Services and CORE Foundations programs in Rockville are hosting a Neurodiversity at Work Job Fair on 3/10 from 4-6 p.m. The event will feature on-site interviews for direct service professionals. ",1499825771690528768,"en","999",0,TRUE,"","@KennedyKrieger"
2454,"colgateuniv","Set in a vaguely familiar time and place, Kinderkrankenhaus is about children who find themselves within the grey walls of a hospital. 

The production recently staged in Brehmer Auditorium, celebrates neurodiversity in both its message and production.",1499823745015459840,"en","999",0,TRUE,"",""
